Student Name,Phone,Email,Gender,State,LGA,Reg No,Level,CGPA,Disability
Rashida Sani,07048284413,test@abc001,Male,Kano,Ungogo,CST/19/SWE/00501,200,3.5,Healthy
ZARA'U MOHD,07062275390,test@abc002,Female,Kaduna,Zaria,CST/19/SWE/00502,300,3.8,Chronic Illness
Zainab Ahmed Rufa’i ,07044334210,test@abc003,Male,Kano,Bebeji,CST/19/SWE/00503,300,4.5,Healthy
Zainab Haruna,0,test@abc004,Female,Kaduna,Jaba,CST/19/SWE/00504,400,4.9,Healthy
Safiya Abdullahi,0,test@abc005,Male,Kano,Ungogo,CST/19/SWE/00505,300,5,Cognitive Impairment
Suwaiba Adamu,09063833708,test@abc006,Female,Kaduna,Zaria,CST/19/SWE/00506,200,2.5,Healthy
Aisha Danladi Muhammad ,07026722026,test@abc007,Male,Kano,Bebeji,CST/19/SWE/00507,200,2.2,Healthy
Hissaina Abubakar ,0,test@abc008,Female,Kaduna,Jaba,CST/19/SWE/00508,300,1.3,Developmental Disability
Salamatu Abdullahi,0,test@abc009,Male,Kano,Ungogo,CST/19/SWE/00509,300,3.5,Healthy
Aisha Abdullahi,07067851135,test@abc010,Female,Kaduna,Zaria,CST/19/SWE/00510,400,3.8,Healthy
Hauwa’u Abbas,07061913182,test@abc011,Male,Kano,Bebeji,CST/19/SWE/00511,300,4.5,Healthy
Maryam Hassan,08063390086,test@abc012,Female,Kaduna,Jaba,CST/19/SWE/00512,200,4.9,Healthy
Halima Muh’d ,08139667346,test@abc013,Male,Kano,Ungogo,CST/19/SWE/00513,200,5,Healthy
Fatsuma Bako ,08102552071,test@abc014,Female,Kaduna,Zaria,CST/19/SWE/00514,300,2.5,Hearing Impairment
Halima Sa’idu,08028249492,test@abc015,Male,Kano,Bebeji,CST/19/SWE/00515,300,2.2,Healthy
Sadiya Abdulrahaman,0,test@abc016,Female,Kaduna,Jaba,CST/19/SWE/00516,400,3.5,Healthy
Ladi Muhammad ,07026722026,test@abc017,Male,Kano,Ungogo,CST/19/SWE/00517,300,3.8,Learning Disability
Hauwa Tatalo,0,test@abc018,Female,Kaduna,Zaria,CST/19/SWE/00518,200,4.5,Healthy
Aisha Isa,09037148602,test@abc019,Male,Kano,Bebeji,CST/19/SWE/00519,200,4.9,Healthy
Maryam Umar ,09023932414,test@abc020,Female,Kaduna,Jaba,CST/19/SWE/00520,300,5,Mental Health Condition
Indo Haruna,07069626249,test@abc021,Male,Kano,Ungogo,CST/19/SWE/00521,300,2.5,Healthy
Marka Abba,07068387202,test@abc022,Female,Kaduna,Zaria,CST/19/SWE/00522,400,2.2,Healthy
Maryam Abdullahi,07037049328,test@abc023,Male,Kano,Bebeji,CST/19/SWE/00523,300,3.5,Mobility Impairment
Salamatu Garba,0,test@abc024,Female,Kaduna,Jaba,CST/19/SWE/00524,200,3.8,Healthy
Maryam Muh’d ,08035370437,test@abc025,Male,Kano,Ungogo,CST/19/SWE/00525,200,4.5,Healthy
Rukaiya Isiyaka ,0,test@abc026,Female,Kaduna,Zaria,CST/19/SWE/00526,300,4.9,Neurodiversity
Sadiya Ibrahim ,07043880665,test@abc027,Male,Kano,Bebeji,CST/19/SWE/00527,300,5,Healthy
Hajara Adamu ,08067070550,test@abc028,Female,Kaduna,Jaba,CST/19/SWE/00528,400,2.5,Healthy
Barira Saleh,09161140208,test@abc029,Male,Kano,Ungogo,CST/19/SWE/00529,300,2.2,Physical Disability
Indo Haruna,07069626249,test@abc030,Female,Kaduna,Zaria,CST/19/SWE/00530,200,3.5,Healthy
Lami Waziri,09038535794,test@abc031,Male,Kano,Bebeji,CST/19/SWE/00531,300,3.8,Healthy
